t,value
1539786673,1
1539786676,1
1539786679,1
1539786682,1
1539786685,1
1539786688,1
1539786691,1
1539786694,1
1539786697,1
1539786700,1
1539786703,1
1539786706,1
1539786709,1
1539786712,1
1539786715,1
1539786718,1
1539786721,1
1539786724,1
1539786727,1
1539786730,1
1539786733,1
1539786736,1
1539786739,1
1539786742,1
1539786745,1
1539786748,1
1539786751,1
1539786754,1
1539786757,1
1539786760,1
1539786763,1
1539786766,1
1539786769,1
1539786772,1
1539786775,1
1539786778,1
1539786781,1
t,value
1539786800,1
1539786803,1
1539786806,1
1539786809,1
1539786812,1
1539786815,1
1539786818,1
1539786821,1
1539786824,1
1539786827,1
1539786830,1
1539786833,1
1539786836,1
1539786839,1
1539786842,1
1539786845,1
1539786848,1
1539786851,1
1539786854,1
1539786857,1
1539786860,1
1539786863,1
1539786866,1
1539786869,1
1539786872,1
1539786875,1
1539786878,1
1539786881,1
1539786884,1
1539786887,1
1539786890,1
1539786893,1
1539786896,1
1539786899,1
1539786902,1
1539786905,1
1539786908,1
1539786911,1
1539786914,1
1539786917,1
1539786920,1
1539786923,1
1539786926,1
1539786929,1
1539786932,1
1539786935,1
1539786938,1
1539786941,1
1539786944,1
1539786947,1
1539786950,1
1539786953,1
1539786956,1
1539786959,1
1539786962,1
1539786965,1
1539786968,1
1539786971,1
1539786974,1
1539786977,1
1539786980,1
1539786983,1
1539786986,1
1539786989,1
1539786992,1
1539786995,1
1539786998,1
1539787001,1
1539787004,1
1539787007,1
1539787010,1
1539787013,1
1539787016,1
1539787019,1
1539787022,1
1539787025,1
1539787028,1
1539787031,1
1539787034,1
1539787037,1
1539787040,1
1539787043,1
1539787046,1
1539787049,1
1539787052,1
1539787055,1
1539787058,1
1539787061,1
1539787064,1
1539787067,1
1539787070,1
1539787073,1
1539787076,1
1539787079,1
1539787082,1
1539787085,1
1539787088,1
1539787091,1
1539787094,1
1539787097,1
1539787100,1
1539787103,1
1539787106,1
1539787109,1
1539787112,1
1539787115,1
1539787118,1
1539787121,1
1539787124,1
1539787127,1
1539787130,1
1539787133,1
1539787136,1
1539787139,1
1539787142,1
1539787145,1
1539787148,1
1539787151,1
1539787154,1
1539787157,1
1539787160,1
1539787163,1
1539787166,1
1539787169,1
1539787172,1
1539787175,1
1539787178,1
1539787181,1
1539787184,1
1539787187,1
1539787190,1
1539787193,1
1539787196,1
1539787199,1
1539787202,1
1539787205,1
1539787208,1
1539787211,1
1539787214,1
1539787217,1
1539787220,1
1539787223,1
t,value
1539796323,1
1539796326,1
1539796329,1
1539796332,1
1539796335,1
1539796338,1
1539796341,1
1539796344,1
1539796347,1
1539796350,1
1539796353,1
1539796356,1
1539796359,1
1539796362,1
1539796365,1
1539796368,1
1539796371,1
1539796374,1
1539796377,1
1539796380,1
1539796383,1
1539796386,1
1539796389,1
1539796392,1
1539796395,1
1539796398,27
1539796401,27
1539796404,27
1539796407,27
1539796410,27
1539796413,27
1539796416,27
1539796419,27
1539796422,27
1539796425,44
1539796428,44
1539796431,44
1539796434,44
1539796437,44
1539796440,44
1539796443,44
1539796446,44
1539796449,44
1539796452,44
1539796455,46
1539796458,46
1539796461,46
1539796464,46
1539796467,46
1539796470,48
1539796473,48
1539796476,48
1539796479,48
1539796482,54
1539796485,54
1539796488,54
1539796491,54
1539796494,54
1539796497,56
1539796500,56
1539796503,56
1539796506,56
1539796509,56
1539796512,56
1539796515,62
1539796518,62
1539796521,62
1539796524,62
1539796527,62
1539796530,66
1539796533,66
1539796536,66
1539796539,66
1539796542,66
1539796545,66
1539796548,68
1539796551,68
1539796554,68
1539796557,68
1539796560,68
1539796563,68
1539796566,70
1539796569,70
1539796572,70
1539796575,70
1539796578,70
1539796581,70
1539796584,76
1539796587,77
1539796590,77
1539796593,77
1539796596,77
1539796599,77
1539796602,77
1539796605,80
1539796608,80
1539796611,80
1539796614,80
1539796617,80
1539796620,80
1539796623,80
1539796626,80
1539796629,80
1539796632,80
1539796635,85
1539796638,85
1539796641,85
1539796644,85
1539796647,85
1539796650,85
1539796653,85
1539796656,85
1539796659,85
1539796662,85
1539796665,85
1539796668,85
1539796671,85
1539796674,85
1539796677,85
1539796680,85
1539796683,85
1539796686,85
1539796689,85
1539796692,85
1539796695,85
1539796698,87
1539796701,87
1539796704,87
1539796707,87
1539796710,87
1539796713,87
1539796716,87
1539796719,87
1539796722,87
1539796725,87
1539796728,87
1539796731,87
1539796734,87
1539796737,87
1539796740,87
1539796743,87
1539796746,87
1539796749,87
1539796752,87
1539796755,87
1539796758,90
1539796761,90
1539796764,90
1539796767,90
1539796770,90
1539796773,90
1539796776,90
1539796779,90
1539796782,90
1539796785,90
1539796788,90
1539796791,90
1539796794,90
